index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
214,2000-12-31,184.449683913,184.449683913,186.085904071,186.085904071,123.417958879,158.515581701,422.914846354,197.5741419917,197.5741419917,203.839163913,212.1642195389,312.899620536,128.260739505,119.048831654,173.76347682,173.76347682,253.977980078,142.95995519879,142.95995519879,162.2129695276,162.2129695276,139.889898509,138.2737355108,139.889898509,128.612354396,144.3420543084,179.754101208,283.439113485,171.286478393,156.603488634,129.766336152,242.451774932,89.022712387,92.3221535265,119.393869064,322.8665900482,84.9380540946,246.438535265,196.434919084,132.843863526,240.387752294,148.147296656,138.34228056,138.34228056,170.503737776,179.691436315,130.99238546697,144.7956061263,282.21249554,116.84559868,120.692305667,120.692305667,120.692305667,121.66548951600001,173.792487865,136.38731388,136.38731388,199.93108775,188.419715221821,267.891620994,267.891620994,267.891620994,128.421871693,156.715793498,121.602169183,121.602169183,158.7726722956,159.2172354566,158.7726722956,159.2172354566,162.315125941,248.6447877068,299.536256354,293.672619117,252.815737993,255.249108385,318.368747717,347.3846612,347.3846612,347.3846612,195.09113072510002,162.826524492,240.79076204,336.14030202600003,188.145492127,188.145492127,237.194469007,174.730202453,173.90896928379001,173.90896928379001,110.075685304,125.202473151,100.468228317
579,2001-12-31,471.455862235,471.455862235,320.788634918,320.788634918,315.69444042099997,227.031968969,484.98568759057997,165.764433276,165.764433276,210.279069139,239.36941020999998,259.555867477,199.84203412,142.32661812137,231.934040525,231.934040525,200.716954657,166.725973416,166.725973416,182.786145355,182.786145355,130.564715545,133.292996832,130.564715545,149.9464994569,135.8444230552,168.060508683,232.09314973899998,169.376725621,106.014234575,174.995316848,113.467879166,193.157857168,204.836935401,356.54584471536,229.00679012700002,181.659462078,176.379559575,235.791949556,239.478616389,263.996835151,247.735676379,157.377137962,157.377137962,449.40311024519997,283.6807432553,186.301400013,232.687177913,108.403850948,170.361143336,155.64406465099998,155.64406465099998,155.64406465099998,128.052541934,139.752025418,170.95209851,170.95209851,112.117869902,104.123496837,351.544631186,351.544631186,351.544631186,200.865603209,149.90718933600002,184.686293992,184.686293992,183.837352462,165.43363394,183.837352462,165.43363394,198.14845548,179.094887494,141.927871367,155.651809636,182.556294427,268.183669816,141.072351866,177.025102416,177.025102416,177.025102416,277.12314657,188.855612638,181.47776443,308.746065491,186.566287874,186.566287874,214.931597183,249.17546967,188.46194978,188.46194978,194.2785627576,185.37616224,196.111937108
944,2002-12-31,216.567516478,216.567516478,186.238973178,186.238973178,222.215258156,365.793119594,235.776654857,471.186434188,471.186434188,238.13473933674,293.714903128,290.580328105,310.381183778,332.590997843,250.547450634,250.547450634,410.138787602,134.05297173900001,134.05297173900001,209.192358034,209.192358034,162.030701243,255.018136953,162.030701243,153.685403611,141.043177394,289.650027688,180.2186403939,288.265643064,157.378773548,141.491558239,197.133506819,288.17052436,153.063594828,160.0904469105,373.9913506366,136.368398807,144.222133329,215.47007216100002,149.613216051,196.45521306663,194.2587402396,117.59261493,117.59261493,138.109398937,165.43280769700002,130.1520163834,180.91817501633298,183.14664440296,201.28763373500001,219.452714736,219.452714736,219.452714736,232.079543484,211.944136334,166.8943863,166.8943863,224.579499889,235.907236051,223.055333421,223.055333421,223.055333421,146.5030468986,189.670443276,218.1948157967,218.1948157967,104.6541420015,118.503511804,104.6541420015,118.503511804,144.489313422,143.633972831,211.599537033,120.80092374899999,191.978772927,189.1452796561,159.069004763,157.412812448,157.412812448,157.412812448,188.910368422,97.785988803,144.04553639099998,139.037987972,175.419741735,175.419741735,115.7568857734,200.161894102,127.914024624,127.914024624,169.563400752811,207.724779058,140.278701483211
1309,2003-12-31,275.502888771,275.502888771,219.086087412,219.086087412,228.350726724,157.337458924,158.300969731,177.8060721017,177.8060721017,165.115235789,137.998712522,152.38057882,206.505281960557,151.113988534,138.931490266,138.931490266,182.514130287,166.2809617711,166.2809617711,151.909176414,151.909176414,195.98759040800002,142.789949529,195.98759040800002,158.868504643,161.240847897,192.893165407,234.12298557900002,135.110330903,181.4627932088,100.817666921,124.97836945987,101.54257729,118.439651151414,133.176690482,122.605725837,111.17762095375,141.500618544,139.861620163,155.958345361,235.580000643,181.004240455,167.460586441,167.460586441,178.765924022,341.46404052,174.611344653,231.91983823331,272.036838927,215.626406473,220.559996575936,220.559996575936,220.559996575936,177.63257406,315.408049558,200.421187228,200.421187228,158.303341793,150.766429502,190.142619546,190.142619546,190.142619546,152.185656727,137.1906830031,146.69550244738,146.69550244738,149.2125506988,157.69422047839,149.2125506988,157.69422047839,167.5056308643,128.614878061,167.237882839,182.658000714,201.44252714332,205.874989643,152.229242876,122.76708149,122.76708149,122.76708149,183.81925181,280.013632865,220.966461214,202.477594656,150.182111189,150.182111189,176.795047657,161.426893369,153.5039846065,153.5039846065,179.3734587404,210.622970089,166.82434348499999
1675,2004-12-31,139.50938366100002,139.50938366100002,480.42411568101,480.42411568101,258.7522745415,120.976284662,134.263509118,114.114096942,114.114096942,208.69597813000001,161.046461083,231.087487114,251.640741188,205.17816395350002,155.2353979456,155.2353979456,114.9574292075,233.52264349400002,233.52264349400002,116.0582309559,116.0582309559,119.476991696,144.043648044,119.476991696,149.398248757,137.350609107,173.06231380399998,112.28127785999999,187.044017219,76.71429186899,136.796952507857,95.536642136,97.069870447,98.341876272,130.254863118,120.523367276,138.0342602346,139.967193512,132.953946098,147.8703587453,152.55054109900001,135.564002848,107.561784624,107.561784624,150.504357471,190.160721966,161.73273085495,119.811587614,195.792316597,115.42211488400001,111.057235917,111.057235917,111.057235917,301.852807812,169.601228489,161.573137092,161.573137092,132.743593897,266.005242523,140.402962787,140.402962787,140.402962787,169.228964771,156.91185800495998,155.55852452099998,155.55852452099998,115.1217062794,125.1878543216,115.1217062794,125.1878543216,118.247614936,112.878512625,199.6661320626,195.0286171236,207.90578695600001,282.887636212,197.2226824793,166.12906505,166.12906505,166.12906505,173.394834552,119.19214823,104.174671523,121.481875289,130.0111609,130.0111609,207.9556329813,326.188344529,182.81850664034,182.81850664034,199.055488513,241.536542984,309.085619638
2040,2005-12-31,566.714645025,566.714645025,355.365398255,355.365398255,344.994387525,161.697998052536,364.338233799,214.381704375,214.381704375,177.945199113,153.225991715,226.912188246,220.53563695991,173.695870248,196.02354238499998,196.02354238499998,128.392257885,132.769582375,132.769582375,237.018652647,237.018652647,183.401486409,112.38938606399999,183.401486409,140.6023123138,169.71172893600001,135.518307149,175.795420267,121.774525616,188.904574725,142.238226194,121.765179765,92.527205525,100.610793972,169.307486551,388.49108557,96.490226836,232.41246355200002,184.899881716,101.514526628,119.842800006,174.695292972,152.591326029,152.591326029,204.45140237500001,195.1049879015,157.765513153,194.642297385,322.616430134,189.414084036,203.319153708,203.319153708,203.319153708,210.138870433,297.161722833,381.034087287,381.034087287,562.627736751,257.961179295,388.675521054,388.675521054,388.675521054,194.57523697300002,115.964345428,132.850257607,132.850257607,110.9695922172,198.47984655,110.9695922172,198.47984655,111.792498866,153.20504807,101.477301622,162.57752229300002,193.124546428,190.216399061,135.17072147000002,169.54477558,169.54477558,169.54477558,174.399637864,229.739737928,144.93615861,210.04565126699998,198.41165311400002,198.41165311400002,179.057358594,204.061543262,255.300994532,255.300994532,399.188151265,379.366012526,263.695553287
2405,2006-12-31,192.448291212,192.448291212,351.147127486,351.147127486,273.899927911,284.455866582,315.609774973,182.531549728,182.531549728,316.511528823,152.155710947,156.52899249499998,258.771611744,196.367076644,243.902646161,243.902646161,159.093841225,203.350694154,203.350694154,273.186822459,273.186822459,213.448919024,188.106821033,213.448919024,204.274415426,228.803808667,194.38514955899998,165.144432994,215.63651833699998,209.590594792,163.608518111,172.251870747,141.72599393,157.88935536099999,148.86099208800002,158.376538956,140.576880648,297.381740185,190.96323808399998,366.6143875373,450.713195744,261.577924478,175.182399297,175.182399297,188.904644928,168.955922486,256.760578398,159.511558628,187.118437189,213.983653306,164.975987583,164.975987583,164.975987583,213.314302532,219.157391071,164.851977159,164.851977159,206.601742705,166.707760718,205.518792341,205.518792341,205.518792341,191.464972284,315.0018398793,366.516029681,366.516029681,105.6447107319,133.857095735,105.6447107319,133.857095735,129.430936785,163.041311109,121.794246011,128.510542371,179.814776822,253.045828479,160.492073968,176.584825246,176.584825246,176.584825246,217.933702682,235.92861466099998,204.250651741,190.505257758,214.09139464,214.09139464,214.2881374805,280.00845497163,211.118301362,211.118301362,119.723026249,223.884941994,173.312585592
2770,2007-12-31,411.097012599,411.097012599,208.279777948,208.279777948,345.307458933,174.5600619746,143.5407679208,144.522443793,144.522443793,268.684191301,324.014403279,146.575359142,244.406635584,107.400862925,114.6754215424,114.6754215424,93.610063858,327.662897847,327.662897847,165.417735101,165.417735101,93.083503669,174.176228097,93.083503669,185.76751607399999,175.5732594864,145.8332118561,182.74741656700002,188.305699449,143.331908845,167.631782592,163.486033105,175.935572619,122.202909371,175.193059266,189.95560359,154.646809735,213.765793955,175.629101327,164.81389013400002,250.08422575,175.09066069,173.085202926,173.085202926,176.507607757,230.743153006,224.177658614,208.328568079,179.451915719,259.02562031729997,150.063915473,150.063915473,150.063915473,202.0400990407,241.056774028,230.42120955800002,230.42120955800002,177.158546946,142.526924545,244.025300728,244.025300728,244.025300728,179.674029832,190.774284056,164.883542052,164.883542052,169.270533676,205.28575679,169.270533676,205.28575679,174.974138388,146.987866214,271.324298196,262.356909611,239.165412936,167.340968109,232.578408082,257.217793929,257.217793929,257.217793929,175.034775129,250.962301608,150.906344244,226.885475546,284.748328861,284.748328861,245.197618615,241.550703093,289.068163938,289.068163938,323.9180504861,196.98115056100002,399.75020745300003
3136,2008-12-31,271.802720356,271.802720356,276.4024656676,276.4024656676,651.460053821,252.1548365889,200.7329648665,211.927928822,211.927928822,195.912340379,225.595321921,189.32839813,198.677803829,181.946843994,158.258043584,158.258043584,232.05896541,176.39587421,176.39587421,152.451637384,152.451637384,145.146500849,138.981421998,145.146500849,145.993284811,110.494648707,185.430680531,205.463263574,189.419155783,162.113552878,184.271147203,165.042288056,128.07509372,137.112869543,132.49685248699998,258.680986288,342.190376076,281.027818126,218.710812201,167.730918504,167.257406638,158.576755732,208.5398967065,208.5398967065,150.125614783,180.200452287,177.847246566,200.099310268,499.583332655,168.366240028,201.558078611,201.558078611,201.558078611,376.4055270975,272.423608102,339.393121117,339.393121117,183.708925703,263.259506823,257.14837250700003,257.14837250700003,257.14837250700003,152.410567227,138.90131013799999,128.069109356,128.069109356,149.878533004,168.037086436,149.878533004,168.037086436,122.935493366,143.583288288,266.8004430747,205.8111359313,210.250045408,229.099886895,111.940317244,228.297094044,228.297094044,228.297094044,149.71021103,146.307717866,173.908731497,276.845792475,199.571218721,199.571218721,300.1297532272,409.5021238043,393.186819655,393.186819655,259.095112592,239.682460361,236.853854368
3501,2009-12-31,203.478942694,203.478942694,198.000662619,198.000662619,209.822774101,167.764217924,170.274236452576,171.404633164,171.404633164,145.864089658,243.45733289199998,232.899218651,207.21222272,187.374976682,195.047985592,195.047985592,187.992470535,179.380874695,179.380874695,242.815547959,242.815547959,191.411240826,251.80502432699998,191.411240826,111.95665305,149.259724808,339.20979788,259.745444994,356.661899038,181.108045304,177.431713499,153.30759044799998,115.4636799456,105.6550411176,152.404133304,173.211770708,182.697535273,167.113854032,218.7620373545,192.237720699,227.307215091,148.278949855,192.135335445,192.135335445,196.691304951,259.817401301,144.646250803,238.685792968,154.076885548,274.08881598700003,236.647803354,236.647803354,236.647803354,323.095733812,184.427216824,186.184575712,186.184575712,357.488475285,262.8646218465,209.731780055,209.731780055,209.731780055,168.840339602,117.53268587,91.00860623700001,91.00860623700001,132.901482281,106.6910553693,132.901482281,106.6910553693,139.178099983,145.286147124,178.548637583,245.592601356,167.233270709,264.362764567,228.159118558,160.66804374,160.66804374,160.66804374,181.42946091599998,122.952959563,117.384254645,163.678620276,192.554461025,192.554461025,302.25727914,172.097679743,225.220725695,225.220725695,201.88219861299999,209.661567558,238.893585503
