index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
210,2000-12-31,436.0,436.0,183.5,183.5,183.5,255.0,255.0,255.0,255.0,255.0,255.0,255.0,96.6,106.5,106.5,106.5,106.5,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,134.39999999999998,436.0,436.0,436.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,541.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,219.0,219.0,219.0,219.0,421.0,421.0,421.0,421.0,421.0,421.0,531.0,531.0,421.0,421.0,531.0,531.0,531.0,531.0,212.0,212.0,212.0,212.0,219.0,219.0,212.0,212.0,212.0,212.0,541.0,541.0,541.0
575,2001-12-31,287.0,287.0,300.4,300.4,300.4,239.0,239.0,239.0,239.0,239.0,239.0,239.0,168.1,145.8,145.8,145.8,145.8,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,110.29999999999998,287.0,287.0,287.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,161.7,161.7,161.7,161.7,159.0,159.0,159.0,159.0,159.0,159.0,290.0,290.0,159.0,159.0,290.0,290.0,290.0,290.0,342.0,342.0,342.0,342.0,161.7,161.7,342.0,342.0,342.0,342.0,299.0,299.0,299.0
940,2002-12-31,342.0,342.0,235.0,235.0,235.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,206.7,320.0,320.0,320.0,320.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,342.0,342.0,342.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,645.0,160.39999999999998,160.39999999999998,160.39999999999998,160.39999999999998,148.0,148.0,148.0,148.0,148.0,148.0,135.0,135.0,148.0,148.0,135.0,135.0,135.0,135.0,233.0,233.0,233.0,233.0,160.39999999999998,160.39999999999998,233.0,233.0,233.0,233.0,178.0,178.0,178.0
1305,2003-12-31,322.0,322.0,240.3,240.3,240.3,257.0,257.0,257.0,257.0,257.0,257.0,257.0,138.4,151.3,151.3,151.3,151.3,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,166.2,166.2,166.2,166.2,166.2,166.2,166.2,166.2,166.2,166.2,166.2,166.2,322.0,322.0,322.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,562.0,145.5,145.5,145.5,145.5,104.0,104.0,104.0,104.0,104.0,104.0,168.0,168.0,104.0,104.0,168.0,168.0,168.0,168.0,210.0,210.0,210.0,210.0,145.5,145.5,210.0,210.0,210.0,210.0,242.0,242.0,242.0
1671,2004-12-31,263.0,263.0,364.79999999999995,364.79999999999995,364.79999999999995,319.0,319.0,319.0,319.0,319.0,319.0,319.0,203.0,162.50000000000003,162.50000000000003,162.50000000000003,162.50000000000003,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,107.1,107.1,107.1,107.1,107.1,107.1,107.1,107.1,107.1,107.1,107.1,107.1,263.0,263.0,263.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,323.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,173.1,173.1,173.1,173.1,157.0,157.0,157.0,157.0,157.0,157.0,134.0,134.0,157.0,157.0,134.0,134.0,134.0,134.0,171.0,171.0,171.0,171.0,173.1,173.1,171.0,171.0,171.0,171.0,323.0,323.0,323.0
2036,2005-12-31,417.0,417.0,289.99999999999994,289.99999999999994,289.99999999999994,398.0,398.0,398.0,398.0,398.0,398.0,398.0,152.4,105.3,105.3,105.3,105.3,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,398.0,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,103.20000000000002,417.0,417.0,417.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,377.0,121.3,121.3,121.3,121.3,222.0,222.0,222.0,222.0,222.0,222.0,214.0,214.0,222.0,222.0,214.0,214.0,214.0,214.0,228.0,228.0,228.0,228.0,121.3,121.3,228.0,228.0,228.0,228.0,221.0,221.0,221.0
2401,2006-12-31,607.0,607.0,279.29999999999995,279.29999999999995,279.29999999999995,256.0,256.0,256.0,256.0,256.0,256.0,256.0,168.5,205.2,205.2,205.2,205.2,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,139.1,139.1,139.1,139.1,139.1,139.1,139.1,139.1,139.1,139.1,139.1,139.1,607.0,607.0,607.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,127.7,127.7,127.7,127.7,208.0,208.0,208.0,208.0,208.0,208.0,100.0,100.0,208.0,208.0,100.0,100.0,100.0,100.0,244.0,244.0,244.0,244.0,127.7,127.7,244.0,244.0,244.0,244.0,184.0,184.0,184.0
2766,2007-12-31,382.0,382.0,317.5999999999999,317.5999999999999,317.5999999999999,196.0,196.0,196.0,196.0,196.0,196.0,196.0,110.29999999999998,227.99999999999997,227.99999999999997,227.99999999999997,227.99999999999997,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,163.79999999999998,382.0,382.0,382.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,777.0,220.49999999999997,220.49999999999997,220.49999999999997,220.49999999999997,104.0,104.0,104.0,104.0,104.0,104.0,163.0,163.0,104.0,104.0,163.0,163.0,163.0,163.0,261.0,261.0,261.0,261.0,220.49999999999997,220.49999999999997,261.0,261.0,261.0,261.0,51.0,51.0,51.0
3132,2008-12-31,418.4,418.4,496.2999999999999,496.2999999999999,496.2999999999999,322.0,322.0,322.0,322.0,322.0,322.0,322.0,197.29999999999998,156.39999999999995,156.39999999999995,156.39999999999995,156.39999999999995,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,322.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,418.4,418.4,418.4,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,175.2,175.2,175.2,175.2,266.0,266.0,266.0,266.0,266.0,266.0,174.0,174.0,266.0,266.0,174.0,174.0,174.0,174.0,238.0,238.0,238.0,238.0,175.2,175.2,238.0,238.0,238.0,238.0,206.0,206.0,206.0
3497,2009-12-31,383.9,383.9,338.2999999999999,338.2999999999999,338.2999999999999,212.0,212.0,212.0,212.0,212.0,212.0,212.0,198.39999999999998,131.99999999999994,131.99999999999994,131.99999999999994,131.99999999999994,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,109.49999999999999,383.9,383.9,383.9,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,404.0,164.7,164.7,164.7,164.7,180.0,180.0,180.0,180.0,180.0,180.0,110.0,110.0,180.0,180.0,110.0,110.0,110.0,110.0,169.0,169.0,169.0,169.0,164.7,164.7,169.0,169.0,169.0,169.0,374.0,374.0,374.0
