index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
210,2000-12-31,459.660946484463,459.660946484463,330.59263002495334,330.59263002495334,330.59263002495334,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,257.71241252427,215.73488637737972,215.73488637737972,215.73488637737972,215.73488637737972,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,284.4053829543925,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,243.86843236436872,459.660946484463,459.660946484463,459.660946484463,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,425.4156484388452,506.7546094631071,506.7546094631071,506.7546094631071,506.7546094631071,506.7546094631071,506.7546094631071,506.7546094631071,506.7546094631071,446.1626430521245,446.1626430521245,446.1626430521245,446.1626430521245,813.8684209703599,813.8684209703599,813.8684209703599,813.8684209703599,813.8684209703599,813.8684209703599,966.3541568489657,966.3541568489657,813.8684209703599,813.8684209703599,966.3541568489657,966.3541568489657,966.3541568489657,966.3541568489657,554.7584050324552,554.7584050324552,554.7584050324552,554.7584050324552,446.1626430521245,446.1626430521245,554.7584050324552,554.7584050324552,554.7584050324552,554.7584050324552,425.4156484388452,425.4156484388452,425.4156484388452
575,2001-12-31,459.01484557462436,459.01484557462436,631.0849533400001,631.0849533400001,631.0849533400001,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,301.2537602824075,324.53846489861706,324.53846489861706,324.53846489861706,324.53846489861706,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,335.31778547598594,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,270.58651424938176,459.01484557462436,459.01484557462436,459.01484557462436,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,593.4546343409409,360.1736671343,360.1736671343,360.1736671343,360.1736671343,360.1736671343,360.1736671343,360.1736671343,360.1736671343,519.9658177549542,519.9658177549542,519.9658177549542,519.9658177549542,387.97579731429477,387.97579731429477,387.97579731429477,387.97579731429477,387.97579731429477,387.97579731429477,496.03771941354756,496.03771941354756,387.97579731429477,387.97579731429477,496.03771941354756,496.03771941354756,496.03771941354756,496.03771941354756,440.4924601823723,440.4924601823723,440.4924601823723,440.4924601823723,519.9658177549542,519.9658177549542,440.4924601823723,440.4924601823723,440.4924601823723,440.4924601823723,593.4546343409409,593.4546343409409,593.4546343409409
940,2002-12-31,434.94955352746564,434.94955352746564,570.7467739291079,570.7467739291079,570.7467739291079,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,347.41864209093717,361.34798385273194,361.34798385273194,361.34798385273194,361.34798385273194,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,601.6291029409845,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,317.423656109436,434.94955352746564,434.94955352746564,434.94955352746564,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,283.23875949787873,777.225581522426,777.225581522426,777.225581522426,777.225581522426,777.225581522426,777.225581522426,777.225581522426,777.225581522426,511.2458561126149,511.2458561126149,511.2458561126149,511.2458561126149,382.33559226019344,382.33559226019344,382.33559226019344,382.33559226019344,382.33559226019344,382.33559226019344,386.24646192160094,386.24646192160094,382.33559226019344,382.33559226019344,386.24646192160094,386.24646192160094,386.24646192160094,386.24646192160094,398.62368178546774,398.62368178546774,398.62368178546774,398.62368178546774,511.2458561126149,511.2458561126149,398.62368178546774,398.62368178546774,398.62368178546774,398.62368178546774,283.23875949787873,283.23875949787873,283.23875949787873
1305,2003-12-31,459.52799445678346,459.52799445678346,425.9738151941666,425.9738151941666,425.9738151941666,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,255.17504456142967,300.79117657985995,300.79117657985995,300.79117657985995,300.79117657985995,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,390.8687414700219,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,254.793501439782,459.52799445678346,459.52799445678346,459.52799445678346,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,376.99263861229224,596.7949024014894,596.7949024014894,596.7949024014894,596.7949024014894,596.7949024014894,596.7949024014894,596.7949024014894,596.7949024014894,349.11043625535115,349.11043625535115,349.11043625535115,349.11043625535115,327.43459359835344,327.43459359835344,327.43459359835344,327.43459359835344,327.43459359835344,327.43459359835344,373.47608090696883,373.47608090696883,327.43459359835344,327.43459359835344,373.47608090696883,373.47608090696883,373.47608090696883,373.47608090696883,461.91118736834005,461.91118736834005,461.91118736834005,461.91118736834005,349.11043625535115,349.11043625535115,461.91118736834005,461.91118736834005,461.91118736834005,461.91118736834005,376.99263861229224,376.99263861229224,376.99263861229224
1671,2004-12-31,311.978093196935,311.978093196935,440.0810631287786,440.0810631287786,440.0810631287786,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,376.41055701549044,347.32096694218194,347.32096694218194,347.32096694218194,347.32096694218194,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,482.0183356741916,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,170.49647341442298,311.978093196935,311.978093196935,311.978093196935,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,398.0288021451315,393.67520493524876,393.67520493524876,393.67520493524876,393.67520493524876,393.67520493524876,393.67520493524876,393.67520493524876,393.67520493524876,309.6875202040259,309.6875202040259,309.6875202040259,309.6875202040259,277.4399910201119,277.4399910201119,277.4399910201119,277.4399910201119,277.4399910201119,277.4399910201119,289.8623944253886,289.8623944253886,277.4399910201119,277.4399910201119,289.8623944253886,289.8623944253886,289.8623944253886,289.8623944253886,372.4870173660218,372.4870173660218,372.4870173660218,372.4870173660218,309.6875202040259,309.6875202040259,372.4870173660218,372.4870173660218,372.4870173660218,372.4870173660218,398.0288021451315,398.0288021451315,398.0288021451315
2036,2005-12-31,556.8753497737935,556.8753497737935,1105.31157422858,1105.31157422858,1105.31157422858,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,364.04064625430925,300.3669797066609,300.3669797066609,300.3669797066609,300.3669797066609,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,681.0563257126688,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,195.55864856849996,556.8753497737935,556.8753497737935,556.8753497737935,513.198866907,513.198866907,513.198866907,513.198866907,513.198866907,513.198866907,513.198866907,513.198866907,513.198866907,513.198866907,584.3272860759998,584.3272860759998,584.3272860759998,584.3272860759998,584.3272860759998,584.3272860759998,584.3272860759998,584.3272860759998,569.6560019488194,569.6560019488194,569.6560019488194,569.6560019488194,354.7182395246922,354.7182395246922,354.7182395246922,354.7182395246922,354.7182395246922,354.7182395246922,398.4267007527001,398.4267007527001,354.7182395246922,354.7182395246922,398.4267007527001,398.4267007527001,398.4267007527001,398.4267007527001,372.38678033630003,372.38678033630003,372.38678033630003,372.38678033630003,569.6560019488194,569.6560019488194,372.38678033630003,372.38678033630003,372.38678033630003,372.38678033630003,513.198866907,513.198866907,513.198866907
2401,2006-12-31,574.0260821500001,574.0260821500001,701.4147994199999,701.4147994199999,701.4147994199999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,330.506041240098,420.31479471099993,420.31479471099993,420.31479471099993,420.31479471099993,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,608.2108123569999,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,270.32012542886264,574.0260821500001,574.0260821500001,574.0260821500001,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,461.0115381773901,416.5962061854728,416.5962061854728,416.5962061854728,416.5962061854728,416.5962061854728,416.5962061854728,416.5962061854728,416.5962061854728,373.2473529419999,373.2473529419999,373.2473529419999,373.2473529419999,398.69789857745286,398.69789857745286,398.69789857745286,398.69789857745286,398.69789857745286,398.69789857745286,345.5443072770346,345.5443072770346,398.69789857745286,398.69789857745286,345.5443072770346,345.5443072770346,345.5443072770346,345.5443072770346,402.79743781250306,402.79743781250306,402.79743781250306,402.79743781250306,373.2473529419999,373.2473529419999,402.79743781250306,402.79743781250306,402.79743781250306,402.79743781250306,461.0115381773901,461.0115381773901,461.0115381773901
2766,2007-12-31,484.86812341274793,484.86812341274793,441.84129579034243,441.84129579034243,441.84129579034243,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,342.664650447,369.62495330039985,369.62495330039985,369.62495330039985,369.62495330039985,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,464.2731744012179,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,338.1014990189999,484.86812341274793,484.86812341274793,484.86812341274793,468.927709106362,468.927709106362,468.927709106362,468.927709106362,468.927709106362,468.927709106362,468.927709106362,468.927709106362,468.927709106362,468.927709106362,622.4458388032939,622.4458388032939,622.4458388032939,622.4458388032939,622.4458388032939,622.4458388032939,622.4458388032939,622.4458388032939,461.6962183859759,461.6962183859759,461.6962183859759,461.6962183859759,427.8220563463939,427.8220563463939,427.8220563463939,427.8220563463939,427.8220563463939,427.8220563463939,473.5084899927064,473.5084899927064,427.8220563463939,427.8220563463939,473.5084899927064,473.5084899927064,473.5084899927064,473.5084899927064,404.398982223324,404.398982223324,404.398982223324,404.398982223324,461.6962183859759,461.6962183859759,404.398982223324,404.398982223324,404.398982223324,404.398982223324,468.927709106362,468.927709106362,468.927709106362
3132,2008-12-31,635.7032257839753,635.7032257839753,1105.374831012459,1105.374831012459,1105.374831012459,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,290.601156111493,330.56171236094787,330.56171236094787,330.56171236094787,330.56171236094787,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,455.86409180599986,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,366.98079423587455,635.7032257839753,635.7032257839753,635.7032257839753,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,1090.851963893763,375.5431414731539,375.5431414731539,375.5431414731539,375.5431414731539,375.5431414731539,375.5431414731539,375.5431414731539,375.5431414731539,362.9118331027655,362.9118331027655,362.9118331027655,362.9118331027655,408.62564236263785,408.62564236263785,408.62564236263785,408.62564236263785,408.62564236263785,408.62564236263785,297.63705365315803,297.63705365315803,408.62564236263785,408.62564236263785,297.63705365315803,297.63705365315803,297.63705365315803,297.63705365315803,596.2175088476916,596.2175088476916,596.2175088476916,596.2175088476916,362.9118331027655,362.9118331027655,596.2175088476916,596.2175088476916,596.2175088476916,596.2175088476916,1090.851963893763,1090.851963893763,1090.851963893763
3497,2009-12-31,335.99968983511064,335.99968983511064,360.1394016382658,360.1394016382658,360.1394016382658,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,362.60433040600003,337.91814562352795,337.91814562352795,337.91814562352795,337.91814562352795,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,446.0960070749998,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,279.1127593596882,335.99968983511064,335.99968983511064,335.99968983511064,483.326361533,483.326361533,483.326361533,483.326361533,483.326361533,483.326361533,483.326361533,483.326361533,483.326361533,483.326361533,317.93248519785726,317.93248519785726,317.93248519785726,317.93248519785726,317.93248519785726,317.93248519785726,317.93248519785726,317.93248519785726,362.9255867554404,362.9255867554404,362.9255867554404,362.9255867554404,414.7290263412758,414.7290263412758,414.7290263412758,414.7290263412758,414.7290263412758,414.7290263412758,380.1220526964321,380.1220526964321,414.7290263412758,414.7290263412758,380.1220526964321,380.1220526964321,380.1220526964321,380.1220526964321,442.666776435639,442.666776435639,442.666776435639,442.666776435639,362.9255867554404,362.9255867554404,442.666776435639,442.666776435639,442.666776435639,442.666776435639,483.326361533,483.326361533,483.326361533
