index,time,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
296,2000-12-31,393.43621125154993,393.43621125154993,268.885457572,268.885457572,268.885457572,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,144.33833467,179.843688392,179.843688392,179.843688392,179.843688392,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,175.2166332076,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,152.416071665,393.43621125154993,393.43621125154993,393.43621125154993,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,261.26234191000003,263.8304182947,263.8304182947,263.8304182947,263.8304182947,263.8304182947,263.8304182947,263.8304182947,263.8304182947,230.79006348000001,230.79006348000001,230.79006348000001,230.79006348000001,763.857879915,763.857879915,763.857879915,763.857879915,763.857879915,763.857879915,878.3222680677,878.3222680677,763.857879915,763.857879915,878.3222680677,878.3222680677,878.3222680677,878.3222680677,367.099491308,367.099491308,367.099491308,367.099491308,230.79006348000001,230.79006348000001,367.099491308,367.099491308,367.099491308,367.099491308,261.26234191000003,261.26234191000003,261.26234191000003
661,2001-12-31,247.76452105299998,247.76452105299998,387.75595666000004,387.75595666000004,387.75595666000004,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,313.705703383,278.7207541,278.7207541,278.7207541,278.7207541,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,424.8575511380001,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,207.23993334899998,247.76452105299998,247.76452105299998,247.76452105299998,252.23577756,252.23577756,252.23577756,252.23577756,252.23577756,252.23577756,252.23577756,252.23577756,252.23577756,252.23577756,220.20307061,220.20307061,220.20307061,220.20307061,220.20307061,220.20307061,220.20307061,220.20307061,258.03183158520005,258.03183158520005,258.03183158520005,258.03183158520005,360.34668096999997,360.34668096999997,360.34668096999997,360.34668096999997,360.34668096999997,360.34668096999997,356.68452528000006,356.68452528000006,360.34668096999997,360.34668096999997,356.68452528000006,356.68452528000006,356.68452528000006,356.68452528000006,596.3224702839999,596.3224702839999,596.3224702839999,596.3224702839999,258.03183158520005,258.03183158520005,596.3224702839999,596.3224702839999,596.3224702839999,596.3224702839999,252.23577756,252.23577756,252.23577756
1026,2002-12-31,210.02487342199998,210.02487342199998,190.90718617000007,190.90718617000007,190.90718617000007,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,369.74092395199995,312.52966521999997,312.52966521999997,312.52966521999997,312.52966521999997,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,286.5272863,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,213.79949966599997,210.02487342199998,210.02487342199998,210.02487342199998,192.687441556,192.687441556,192.687441556,192.687441556,192.687441556,192.687441556,192.687441556,192.687441556,192.687441556,192.687441556,235.26419785999997,235.26419785999997,235.26419785999997,235.26419785999997,235.26419785999997,235.26419785999997,235.26419785999997,235.26419785999997,286.70389216,286.70389216,286.70389216,286.70389216,260.4383135,260.4383135,260.4383135,260.4383135,260.4383135,260.4383135,308.66082478000004,308.66082478000004,260.4383135,260.4383135,308.66082478000004,308.66082478000004,308.66082478000004,308.66082478000004,296.494971143,296.494971143,296.494971143,296.494971143,286.70389216,286.70389216,296.494971143,296.494971143,296.494971143,296.494971143,192.687441556,192.687441556,192.687441556
1391,2003-12-31,216.191424014,216.191424014,270.8467000670001,270.8467000670001,270.8467000670001,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,190.839904994,311.080579556,311.080579556,311.080579556,311.080579556,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,277.3936268071401,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,197.85148806299998,216.191424014,216.191424014,216.191424014,326.853439385,326.853439385,326.853439385,326.853439385,326.853439385,326.853439385,326.853439385,326.853439385,326.853439385,326.853439385,224.96476539999998,224.96476539999998,224.96476539999998,224.96476539999998,224.96476539999998,224.96476539999998,224.96476539999998,224.96476539999998,286.79296579,286.79296579,286.79296579,286.79296579,298.39301918,298.39301918,298.39301918,298.39301918,298.39301918,298.39301918,256.839198815,256.839198815,298.39301918,298.39301918,256.839198815,256.839198815,256.839198815,256.839198815,382.362256654,382.362256654,382.362256654,382.362256654,286.79296579,286.79296579,382.362256654,382.362256654,382.362256654,382.362256654,326.853439385,326.853439385,326.853439385
1757,2004-12-31,223.49080169760003,223.49080169760003,218.02001378000008,218.02001378000008,218.02001378000008,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,305.185300427,294.43307416,294.43307416,294.43307416,294.43307416,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,685.06923641,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,209.594468374,223.49080169760003,223.49080169760003,223.49080169760003,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,190.57792275999998,302.50033024370003,302.50033024370003,302.50033024370003,302.50033024370003,302.50033024370003,302.50033024370003,302.50033024370003,302.50033024370003,255.57864958,255.57864958,255.57864958,255.57864958,243.38050546327995,243.38050546327995,243.38050546327995,243.38050546327995,243.38050546327995,243.38050546327995,217.513412218,217.513412218,243.38050546327995,243.38050546327995,217.513412218,217.513412218,217.513412218,217.513412218,367.53683067000003,367.53683067000003,367.53683067000003,367.53683067000003,255.57864958,255.57864958,367.53683067000003,367.53683067000003,367.53683067000003,367.53683067000003,190.57792275999998,190.57792275999998,190.57792275999998
2122,2005-12-31,382.66404170399994,382.66404170399994,226.13018133000008,226.13018133000008,226.13018133000008,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,285.52598345999996,307.332450423,307.332450423,307.332450423,307.332450423,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,542.5837739450001,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,171.229275749,382.66404170399994,382.66404170399994,382.66404170399994,215.445992892,215.445992892,215.445992892,215.445992892,215.445992892,215.445992892,215.445992892,215.445992892,215.445992892,215.445992892,244.48454982490003,244.48454982490003,244.48454982490003,244.48454982490003,244.48454982490003,244.48454982490003,244.48454982490003,244.48454982490003,267.893030984,267.893030984,267.893030984,267.893030984,379.920323038,379.920323038,379.920323038,379.920323038,379.920323038,379.920323038,234.13507287099998,234.13507287099998,379.920323038,379.920323038,234.13507287099998,234.13507287099998,234.13507287099998,234.13507287099998,318.112794521,318.112794521,318.112794521,318.112794521,267.893030984,267.893030984,318.112794521,318.112794521,318.112794521,318.112794521,215.445992892,215.445992892,215.445992892
2487,2006-12-31,297.9330353577,297.9330353577,288.39190754500004,288.39190754500004,288.39190754500004,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,347.70967637900003,404.9767025350001,404.9767025350001,404.9767025350001,404.9767025350001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,433.8878511070001,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,248.5527534,297.9330353577,297.9330353577,297.9330353577,262.085693989,262.085693989,262.085693989,262.085693989,262.085693989,262.085693989,262.085693989,262.085693989,262.085693989,262.085693989,243.75518000800002,243.75518000800002,243.75518000800002,243.75518000800002,243.75518000800002,243.75518000800002,243.75518000800002,243.75518000800002,247.20997588199998,247.20997588199998,247.20997588199998,247.20997588199998,231.14101269499994,231.14101269499994,231.14101269499994,231.14101269499994,231.14101269499994,231.14101269499994,249.82428118520002,249.82428118520002,231.14101269499994,231.14101269499994,249.82428118520002,249.82428118520002,249.82428118520002,249.82428118520002,240.24890866,240.24890866,240.24890866,240.24890866,247.20997588199998,247.20997588199998,240.24890866,240.24890866,240.24890866,240.24890866,262.085693989,262.085693989,262.085693989
2852,2007-12-31,394.87423893817004,394.87423893817004,212.00543508200008,212.00543508200008,212.00543508200008,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,208.01838917000003,271.69831123,271.69831123,271.69831123,271.69831123,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,313.60057016950003,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,244.968237095,394.87423893817004,394.87423893817004,394.87423893817004,180.570809797,180.570809797,180.570809797,180.570809797,180.570809797,180.570809797,180.570809797,180.570809797,180.570809797,180.570809797,258.17786006927,258.17786006927,258.17786006927,258.17786006927,258.17786006927,258.17786006927,258.17786006927,258.17786006927,212.37984806224998,212.37984806224998,212.37984806224998,212.37984806224998,296.33457288399995,296.33457288399995,296.33457288399995,296.33457288399995,296.33457288399995,296.33457288399995,394.5420219520001,394.5420219520001,296.33457288399995,296.33457288399995,394.5420219520001,394.5420219520001,394.5420219520001,394.5420219520001,279.64085491000003,279.64085491000003,279.64085491000003,279.64085491000003,212.37984806224998,212.37984806224998,279.64085491000003,279.64085491000003,279.64085491000003,279.64085491000003,180.570809797,180.570809797,180.570809797
3218,2008-12-31,325.62444361000007,325.62444361000007,285.57070877300004,285.57070877300004,285.57070877300004,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,369.03227341900003,236.75528674400002,236.75528674400002,236.75528674400002,236.75528674400002,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,386.21844891793603,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,171.719311815,325.62444361000007,325.62444361000007,325.62444361000007,221.518303621,221.518303621,221.518303621,221.518303621,221.518303621,221.518303621,221.518303621,221.518303621,221.518303621,221.518303621,219.04289157200003,219.04289157200003,219.04289157200003,219.04289157200003,219.04289157200003,219.04289157200003,219.04289157200003,219.04289157200003,388.06292878399995,388.06292878399995,388.06292878399995,388.06292878399995,838.3413336599999,838.3413336599999,838.3413336599999,838.3413336599999,838.3413336599999,838.3413336599999,331.05945775014004,331.05945775014004,838.3413336599999,838.3413336599999,331.05945775014004,331.05945775014004,331.05945775014004,331.05945775014004,365.54774737699995,365.54774737699995,365.54774737699995,365.54774737699995,388.06292878399995,388.06292878399995,365.54774737699995,365.54774737699995,365.54774737699995,365.54774737699995,221.518303621,221.518303621,221.518303621
3583,2009-12-31,260.45093020570005,260.45093020570005,256.54881493500005,256.54881493500005,256.54881493500005,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,328.79156365600005,344.67480764500004,344.67480764500004,344.67480764500004,344.67480764500004,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,397.76361972193604,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,189.576273237,260.45093020570005,260.45093020570005,260.45093020570005,235.042734085,235.042734085,235.042734085,235.042734085,235.042734085,235.042734085,235.042734085,235.042734085,235.042734085,235.042734085,184.11985045900002,184.11985045900002,184.11985045900002,184.11985045900002,184.11985045900002,184.11985045900002,184.11985045900002,184.11985045900002,409.14975881199996,409.14975881199996,409.14975881199996,409.14975881199996,350.29771398699995,350.29771398699995,350.29771398699995,350.29771398699995,350.29771398699995,350.29771398699995,324.71275057,324.71275057,350.29771398699995,350.29771398699995,324.71275057,324.71275057,324.71275057,324.71275057,317.431484727,317.431484727,317.431484727,317.431484727,409.14975881199996,409.14975881199996,317.431484727,317.431484727,317.431484727,317.431484727,235.042734085,235.042734085,235.042734085
